R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR_pct,B_SIG_STR_pct,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_PASS,B_PASS,R_REV,B_REV,win_by,last_round,last_round_time,Format,Referee,date,location,Fight_type,Winner,win_by_Decision,win_by_KO,win_by_Submission,win_by_Other,R_SIG_STR._att,R_SIG_STR._landed,B_SIG_STR._att,B_SIG_STR._landed,R_TOTAL_STR._att,R_TOTAL_STR._landed,B_TOTAL_STR._att,B_TOTAL_STR._landed,R_TD_att,R_TD_landed,B_TD_att,B_TD_landed,R_HEAD_att,R_HEAD_landed,B_HEAD_att,B_HEAD_landed,R_BODY_att,R_BODY_landed,B_BODY_att,B_BODY_landed,R_LEG_att,R_LEG_landed,B_LEG_att,B_LEG_landed,R_DISTANCE_att,R_DISTANCE_landed,B_DISTANCE_att,B_DISTANCE_landed,R_CLINCH_att,R_CLINCH_landed,B_CLINCH_att,B_CLINCH_landed,R_GROUND_att,R_GROUND_landed,B_GROUND_att,B_GROUND_landed,weight_class,No_of_rounds,total_time_fought(seconds),total_time_fought(minutes),R_Stance,R_DOB,R_Height,R_Reach,R_Weight,B_Stance,B_DOB,B_Height,B_Reach,B_Weight,R_age,B_age,fight_year
Stevie Ray,Leonardo Santos,0,1,0.18,0.75,0.0,0.0,0,0,0,0,0,0,KO/TKO,1,137,3 Rnd (5-5-5),Marc Goddard,2019-06-01,"Stockholm, Sweden",Lightweight Bout,Leonardo Santos,False,True,False,False,11,2,16,12,11,2,16,12,0,0,0,0,8,0,5,4,1,0,9,6,2,2,2,2,11,2,16,12,0,0,0,0,0,0,0,0,Lightweight,3,137,2.283333333333333,Southpaw,1990-03-25,177.8,177.8,155.0,Orthodox,1980-02-05,182.88,190.5,155.0,29.0,39.0,2019
Nick Hein,Frank Camacho,0,0,0.46,0.49,0.33,0.0,0,0,0,0,0,0,KO/TKO,2,296,3 Rnd (5-5-5),Leon Roberts,2019-06-01,"Stockholm, Sweden",Lightweight Bout,Frank Camacho,False,True,False,False,79,37,201,100,87,45,208,105,3,1,0,0,52,20,151,68,18,8,47,30,9,9,3,2,78,36,191,93,1,1,10,7,0,0,0,0,Lightweight,3,596,9.933333333333334,Southpaw,1984-04-24,167.64000000000001,167.64000000000001,155.0,Orthodox,1989-05-18,177.8,185.42000000000002,170.0,35.0,30.0,2019
Bea Malecki,Duda Santana,0,0,0.26,0.39,0.0,0.6,2,0,1,0,0,0,Submission,2,119,3 Rnd (5-5-5),,2019-06-01,"Stockholm, Sweden",Women's Bantamweight Bout,Bea Malecki,False,False,True,False,71,19,106,42,82,30,112,48,0,0,5,3,63,12,90,36,6,5,10,2,2,2,6,4,69,18,102,40,0,0,2,0,2,1,2,2,Women's Bantamweight,3,419,6.983333333333333,Orthodox,1991-08-23,175.26,187.96,135.0,Orthodox,1996-01-10,170.18,185.42000000000002,145.0,28.0,23.0,2019
Darko Stosic,Devin Clark,0,0,0.47,0.42,0.33,0.18,0,0,1,0,0,0,Decision - Unanimous,3,300,3 Rnd (5-5-5),Kevin Sataki,2019-06-01,"Stockholm, Sweden",Light Heavyweight Bout,Devin Clark,True,False,False,False,55,26,95,40,82,50,149,90,3,1,11,2,50,23,76,26,5,3,9,5,0,0,10,9,33,12,80,28,16,11,14,11,6,3,1,1,Light Heavyweight,3,900,15.0,Orthodox,1992-02-09,182.88,193.04,205.0,Orthodox,1990-04-12,182.88,190.5,205.0,27.0,29.0,2019
Joel Alvarez,Danilo Belluardo,0,0,0.46,0.65,0.0,1.0,0,0,1,2,1,0,KO/TKO,2,142,3 Rnd (5-5-5),Rebin Saber,2019-06-01,"Stockholm, Sweden",Lightweight Bout,Joel Alvarez,False,True,False,False,41,19,20,13,113,87,68,56,0,0,2,2,32,16,16,9,4,1,0,0,5,2,4,4,23,5,13,8,1,1,0,0,17,13,7,5,Lightweight,3,442,7.366666666666666,Orthodox,1994-03-02,190.5,195.58,155.0,Southpaw,1994-07-21,182.88,187.96,155.0,25.0,25.0,2019
Rafael Dos Anjos,Kevin Lee,0,0,0.54,0.36,0.57,0.37,1,0,4,1,1,0,Submission,4,227,5 Rnd (5-5-5-5-5),Dan Miragliotta,2019-05-18,"Rochester, New York, USA",Welterweight Bout,Rafael Dos Anjos,False,False,True,False,111,60,97,35,126,75,102,40,7,4,16,6,83,36,79,23,21,17,16,10,7,7,2,2,80,33,86,27,20,18,10,7,11,9,1,1,Welterweight,5,1127,18.783333333333335,Southpaw,1984-10-26,172.72,177.8,170.0,Orthodox,1992-09-04,175.26,195.58,170.0,35.0,27.0,2019
Antonio Carlos Junior,Ian Heinisch,0,0,0.45,0.58,0.36,1.0,0,0,4,5,1,0,Decision - Unanimous,3,300,3 Rnd (5-5-5),Todd Ronald Anderson,2019-05-18,"Rochester, New York, USA",Middleweight Bout,Ian Heinisch,True,False,False,False,33,15,67,39,43,25,115,79,11,4,1,1,27,10,48,26,2,1,5,2,4,4,14,11,28,11,31,13,2,2,7,5,3,2,29,21,Middleweight,3,900,15.0,Orthodox,1990-03-16,187.96,200.66,185.0,Orthodox,1988-08-05,180.34,182.88,185.0,29.0,31.0,2019
Megan Anderson,Felicia Spencer,0,0,0.5,0.7,0.0,0.5,0,1,0,1,0,0,Submission,1,204,3 Rnd (5-5-5),Keith Peterson,2019-05-18,"Rochester, New York, USA",Women's Featherweight Bout,Felicia Spencer,False,False,True,False,6,3,31,22,8,5,34,25,0,0,2,1,5,2,17,13,1,1,5,0,0,0,9,9,4,2,7,1,2,1,9,8,0,0,15,13,Women's Featherweight,3,204,3.4,Orthodox,1990-02-11,182.88,182.88,145.0,Orthodox,1990-11-29,167.64000000000001,172.72,145.0,29.0,29.0,2019
Vicente Luque,Derrick Krantz,1,0,0.72,0.33,0.0,0.5,0,0,0,1,0,0,KO/TKO,1,232,3 Rnd (5-5-5),Dan Miragliotta,2019-05-18,"Rochester, New York, USA",Welterweight Bout,Vicente Luque,False,True,False,False,25,18,18,6,25,18,23,9,0,0,2,1,20,14,16,5,2,1,2,1,3,3,0,0,17,10,17,5,1,1,0,0,7,7,1,1,Welterweight,3,232,3.8666666666666667,Orthodox,1991-11-27,180.34,190.5,170.0,Orthodox,1988-01-13,177.8,182.88,170.0,28.0,31.0,2019
Charles Oliveira,Nik Lentz,1,0,0.64,0.36,0.0,0.5,1,0,3,1,1,0,KO/TKO,2,131,3 Rnd (5-5-5),Todd Ronald Anderson,2019-05-18,"Rochester, New York, USA",Lightweight Bout,Charles Oliveira,False,True,False,False,59,38,49,18,64,43,53,21,0,0,4,2,38,23,36,10,19,13,9,5,2,2,4,3,34,20,39,10,17,10,8,6,8,8,2,2,Lightweight,3,431,7.183333333333334,Orthodox,1989-10-17,177.8,187.96,155.0,Orthodox,1984-08-13,172.72,172.72,155.0,30.0,35.0,2019
Davi Ramos,Austin Hubbard,0,0,0.55,0.37,0.42,0.0,0,0,3,0,0,0,Decision - Unanimous,3,300,3 Rnd (5-5-5),Keith Peterson,2019-05-18,"Rochester, New York, USA",Lightweight Bout,Davi Ramos,True,False,False,False,114,63,116,44,128,76,119,46,7,3,0,0,86,44,73,19,15,7,24,8,13,12,19,17,92,41,111,40,5,5,3,2,17,17,2,2,Lightweight,3,900,15.0,Orthodox,1986-11-05,167.64000000000001,177.8,155.0,Orthodox,1991-12-22,177.8,180.34,155.0,33.0,28.0,2019
Aspen Ladd,Sijara Eubanks,0,0,0.55,0.46,0.75,0.4,3,0,6,2,0,0,Decision - Unanimous,3,300,3 Rnd (5-5-5),Keith Peterson,2019-05-18,"Rochester, New York, USA",Women's Bantamweight Bout,Aspen Ladd,True,False,False,False,125,69,164,77,143,85,168,80,4,3,5,2,111,57,146,60,9,7,17,16,5,5,1,1,82,38,140,61,20,14,19,12,23,17,5,4,Women's Bantamweight,3,900,15.0,Orthodox,1995-03-01,167.64000000000001,167.64000000000001,135.0,,1985-04-27,162.56,170.18,135.0,24.0,34.0,2019
